"date","mmwr_week","location","distributed","distributed_janssen","distributed_moderna","distributed_pfizer","distributed_unk_manuf","dist_per_100k","distributed_per_100k_12plus","distributed_per_100k_18plus","distributed_per_100k_65plus","administered","administered_12plus","administered_18plus","administered_65plus","administered_janssen","administered_moderna","administered_pfizer","administered_unk_manuf","admin_per_100k","admin_per_100k_12plus","admin_per_100k_18plus","admin_per_100k_65plus","recip_administered","administered_dose1_recip","administered_dose1_pop_pct","administered_dose1_recip_1","administered_dose1_recip_2","administered_dose1_recip_3","administered_dose1_recip_4","administered_dose1_recip_5","administered_dose1_recip_6","series_complete_yes","series_complete_pop_pct","series_complete_12plus","series_complete_12pluspop","series_complete_18plus","series_complete_18pluspop","series_complete_65plus","series_complete_65pluspop","series_complete_janssen","series_complete_moderna","series_complete_pfizer","series_complete_unk_manuf","series_complete_janssen_12plus","series_complete_moderna_12plus","series_complete_pfizer_12plus","series_complete_unk_manuf_1","series_complete_janssen_18plus","series_complete_moderna_18plus","series_complete_pfizer_18plus","series_complete_unk_manuf_2","series_complete_janssen_65plus","series_complete_moderna_65plus","series_complete_pfizer_65plus","series_complete_unk_manuf_3","additional_doses","additional_doses_vax_pct","additional_doses_18plus","additional_doses_18plus_vax_pct","additional_doses_50plus","additional_doses_50plus_vax_pct","additional_doses_65plus","additional_doses_65plus_vax_pct","additional_doses_moderna","additional_doses_pfizer","additional_doses_janssen","additional_doses_unk_manuf"
"2021-11-04T00:00:00.000","44","FM","89640","11500","74000","4140","0","86489","101278","111042","510449","77142","77127","75615","5964","12111","63471","1560","0","74430","87140","93669","33962","77813","46886","45.2","46872","53","45893","56.9","3603","20.5","41177","39.7","41168","46.5","40615","50.3","3335","19","11586","28898","692","1","11578","28897","692","1","11563","28893","158","1","1052","2276","7","0","268","0.7","266","0.7","117","1","24","0.7","251","6","11","0"
"2021-11-04T00:00:00.000","44","MS","4199185","192800","1745600","2214285","46500","141095","166540","184372","862800","3022248","3021944","2847446","896907","76272","1228423","1715583","1970","101549","119851","125021","184286","3038267","1557735","52.3","1557492","61.8","1460760","64.1","420777","86.5","1368016","46","1367933","54.3","1289316","56.6","390234","80.2","75650","542643","749199","524","75637","542632","749140","524","75563","542340","670908","505","16802","199219","173962","251","148314","10.8","148061","11.5","128895","16.8","94833","24.3","58009","89463","650","192"
"2021-11-04T00:00:00.000","44","MA","12306680","534400","4784860","6867120","120300","178552","204540","222154","1052450","10583168","10554509","9842920","2556608","348340","4021753","6212373","702","153546","175419","177680","218638","10606281","5561251","80.7","5544382","92.1","5159872","93.1","1254008","99.9","4815714","69.9","4804171","79.8","4473829","80.8","1058729","90.5","349650","1771417","2694463","184","349641","1771408","2682938","184","348430","1766114","2359130","155","69839","476781","512054","55","532373","11.1","531838","11.9","426975","18.8","313054","29.6","160250","369751","2228","144"
"2021-11-04T00:00:00.000","44","NJ","15509875","765700","5939580","8668395","136200","174618","203585","223369","1051140","12461932","12460952","11571768","2983283","463324","4735587","7262492","529","140302","163564","166653","202183","12823140","6697592","75.4","6696660","87.9","6216265","89.5","1466997","99.4","5913305","66.6","5913071","77.6","5494316","79.1","1297883","88","463726","2151635","3297734","210","463650","2151599","3297612","210","463426","2151029","2879666","195","86957","604194","606672","60","631003","10.7","630143","11.5","518169","18.3","358582","27.6","212829","411472","6698","4"
"2021-11-04T00:00:00.000","44","OH","16944425","802000","6722980","9253545","165900","144959","169432","185976","828044","13193595","13193313","12461178","4069197","523075","5016551","7636939","17030","112871","131924","136769","198854","13061065","6548197","56","6547939","65.5","6164295","67.7","1814089","88.7","6079963","52","6079863","60.8","5738504","63","1730013","84.5","501177","2244464","3329682","4640","501166","2244458","3329599","4640","500954","2243953","2989051","4546","87481","781602","858622","2308","799737","13.2","798699","13.9","681053","20.4","526564","30.4","234497","557262","7796","182"
"2021-11-04T00:00:00.000","44","KY","6527155","323700","2787100","3357855","58500","146097","171489","188385","869633","4969707","4968538","4690532","1444730","197564","2038892","2731667","1584","111237","130539","135377","192486","5000557","2578974","57.7","2578543","67.7","2427330","70.1","684948","91.3","2274966","50.9","2274892","59.8","2147362","62","618649","82.4","192447","903256","1177826","1437","192416","903243","1177798","1435","192317","903023","1050646","1376","37054","281077","299794","724","301784","13.3","301456","14","253260","20.7","187869","30.4","94168","204864","2688","64"
"2021-11-04T00:00:00.000","44","KS","4390635","226600","1763660","2326875","73500","150709","179086","198396","923397","3383442","3383263","3153351","979060","112948","1307504","1961323","1667","116137","137997","142488","205907","3484676","1831673","62.9","1831502","74.7","1705748","77.1","490881","99.9","1555774","53.4","1555738","63.5","1450487","65.5","410523","86.3","110349","587700","857213","512","110341","587692","857193","512","110245","587361","752431","450","17447","195781","197068","227","177916","11.4","177637","12.2","147232","18.7","112237","27.3","53237","123578","1044","57"
"2021-11-04T00:00:00.000","44","ID","2545900","133800","996040","1381860","34200","142463","0","190154","875873","1747860","0","1746607","577360","70369","697190","977836","2465","97806","0","130454","198631","1757731","881877","49.3","0","0","879361","65.7","259630","89.3","788073","44.1","0","0","786370","58.7","241141","83","69469","303497","414502","605","0","0","0","0","69447","303474","412850","599","11381","110744","118758","258","122751","15.6","122749","15.6","102953","23.3","78419","32.5","36542","85392","784","33"
"2021-11-04T00:00:00.000","44","IL","19794005","997800","7400480","11254125","141600","156205","182639","200874","968760","16434312","16392929","15250162","4124931","570143","5905022","9939587","19560","129692","151257","154762","201883","16620594","8363968","66","8339711","77","7737480","78.5","1896929","92.8","7690351","60.7","7673661","70.8","7127661","72.3","1759069","86.1","566969","2677693","4439273","6416","566908","2677577","4422761","6415","564430","2670045","3886905","6281","78624","786655","890788","3002","934971","12.2","933870","13.1","743663","20.3","540381","30.7","277074","652380","5166","351"
"2021-11-04T00:00:00.000","44","US","528775895","25912800","206338260","292073685","4451150","159272","186487","204746","966744","426728092","426358793","398563627","112817318","15774846","161206881","249302522","443843","128534","150367","154327","206260","426728092","222591394","67","222357053","78.4","207344425","80.3","53518351","97.8","193227813","58.2","193091922","68.1","180434243","69.9","46797662","85.6","15399956","70705167","107002893","119797","15396745","70701513","106873953","119711","15371954","70623561","94321715","117013","2218040","22279305","22248131","52186","21483519","11.1","21455585","11.9","17577112","18.5","12925811","27.6","6636723","14683639","154781","8376"
