,fips,county,state,vaccinated
176,19133,Monona County,IA,49.7
177,30107,Wheatland County,MT,32.1
178,56001,Albany County,WY,47.6
179,42043,Dauphin County,PA,58.2
180,27153,Todd County,MN,36.9
181,31025,Cass County,NE,52.9
182,17015,Carroll County,IL,53.5
183,18117,Orange County,IN,51.2
184,39139,Richland County,OH,39.3
185,55051,Iron County,WI,61.8
186,05079,Lincoln County,AR,31.4
187,06049,Modoc County,CA,0.0
188,28085,Lincoln County,MS,34.8
189,19027,Carroll County,IA,56.6
190,48365,Panola County,TX,33.2
191,18055,Greene County,IN,37.3
192,42081,Lycoming County,PA,48.6
193,48359,Oldham County,TX,31.4
194,28073,Lamar County,MS,53.1
195,20055,Finney County,KS,38.6
196,10001,Kent County,DE,48.0
197,21153,Magoffin County,KY,45.7
198,21081,Grant County,KY,47.3
199,18183,Whitley County,IN,43.9
200,48221,Hood County,TX,43.8
201,72055,Guanica Municipio,PR,63.0
202,01129,Washington County,AL,41.9
203,48045,Briscoe County,TX,39.1
204,31071,Garfield County,NE,27.1
205,13285,Troup County,GA,21.4
206,38047,Logan County,ND,30.5
207,05005,Baxter County,AR,43.2
208,38059,Morton County,ND,38.4
209,48281,Lampasas County,TX,39.5
210,47069,Hardeman County,TN,40.4
211,08063,Kit Carson County,CO,34.5
212,45021,Cherokee County,SC,30.7
213,40103,Noble County,OK,55.4
214,47055,Giles County,TN,34.6
215,55041,Forest County,WI,54.3
216,08093,Park County,CO,43.5
217,55105,Rock County,WI,61.5
218,13139,Hall County,GA,29.7
219,51145,Powhatan County,VA,38.5
220,39057,Greene County,OH,58.0
221,55107,Rusk County,WI,37.3
222,21133,Letcher County,KY,48.3
223,56007,Carbon County,WY,39.5
224,36055,Monroe County,NY,64.7
225,05003,Ashley County,AR,45.0
226,35027,Lincoln County,NM,53.3
227,48225,Houston County,TX,37.5
228,35039,Rio Arriba County,NM,68.5
229,02188,Northwest Arctic Borough,AK,51.1
230,29087,Holt County,MO,37.7
231,23027,Waldo County,ME,63.8
232,26011,Arenac County,MI,47.4
233,01093,Marion County,AL,32.7
234,50007,Chittenden County,VT,64.6
235,48131,Duval County,TX,54.3
236,47159,Smith County,TN,29.2
237,51159,Richmond County,VA,39.0
238,36053,Madison County,NY,55.4
239,51031,Campbell County,VA,38.2
240,53049,Pacific County,WA,50.2
241,51143,Pittsylvania County,VA,38.8
242,08077,Mesa County,CO,44.3
243,48163,Frio County,TX,47.2
244,18077,Jefferson County,IN,51.2
245,72085,Las Piedras Municipio,PR,64.5
246,48287,Lee County,TX,42.1
247,51139,Page County,VA,35.6
248,34001,Atlantic County,NJ,58.2
249,31137,Phelps County,NE,35.1
250,35021,Harding County,NM,53.4
251,46087,McCook County,SD,48.9
252,48379,Rains County,TX,32.2
253,31147,Richardson County,NE,46.8
254,28043,Grenada County,MS,47.6
255,51179,Stafford County,VA,48.9
256,13243,Randolph County,GA,18.3
257,48273,Kleberg County,TX,55.9
258,46125,Turner County,SD,47.2
259,01017,Chambers County,AL,27.9
260,13263,Talbot County,GA,29.3
261,72129,San Lorenzo Municipio,PR,68.1
262,26143,Roscommon County,MI,52.4
263,29095,Jackson County,MO,49.2
264,38069,Pierce County,ND,41.8
265,72089,Luquillo Municipio,PR,62.7
266,01013,Butler County,AL,35.1
267,12105,Polk County,FL,50.4
268,05061,Howard County,AR,49.2
269,54081,Raleigh County,WV,21.5
270,27139,Scott County,MN,59.7
271,37107,Lenoir County,NC,47.3
272,31141,Platte County,NE,41.3
273,20099,Labette County,KS,44.6
274,20077,Harper County,KS,42.4
275,26107,Mecosta County,MI,38.3
276,48121,Denton County,TX,54.9
277,36099,Seneca County,NY,48.8
278,48101,Cottle County,TX,31.0
279,36121,Wyoming County,NY,46.0
280,53019,Ferry County,WA,49.3
281,17119,Madison County,IL,49.1
282,36113,Warren County,NY,70.2
283,40037,Creek County,OK,38.5
284,40041,Delaware County,OK,32.9
285,49011,Davis County,UT,55.9
286,29159,Pettis County,MO,38.3
287,72067,Hormigueros Municipio,PR,72.4
288,36013,Chautauqua County,NY,52.6
289,51165,Rockingham County,VA,40.8
290,22073,Ouachita Parish,LA,40.3
291,26055,Grand Traverse County,MI,62.6
292,47183,Weakley County,TN,33.7
293,17053,Ford County,IL,46.6
294,48391,Refugio County,TX,49.1
295,19183,Washington County,IA,51.9
296,13287,Turner County,GA,21.8
297,01079,Lawrence County,AL,42.2
298,22077,Pointe Coupee Parish,LA,50.3
299,22115,Vernon Parish,LA,45.4
300,39101,Marion County,OH,43.0
301,24011,Caroline County,MD,51.8
302,22111,Union Parish,LA,41.0
303,21223,Trimble County,KY,41.3
304,47123,Monroe County,TN,39.0
305,19057,Des Moines County,IA,46.2
306,22035,East Carroll Parish,LA,40.3
307,39039,Defiance County,OH,44.3
308,22121,West Baton Rouge Parish,LA,48.5
309,08025,Crowley County,CO,19.4
310,48475,Ward County,TX,33.4
311,18143,Scott County,IN,40.6
312,46043,Douglas County,SD,43.6
313,24027,Howard County,MD,74.7
314,42117,Tioga County,PA,39.8
315,47065,Hamilton County,TN,50.6
316,22015,Bossier Parish,LA,43.2
317,20177,Shawnee County,KS,54.6
318,27045,Fillmore County,MN,59.4
319,28065,Jefferson Davis County,MS,39.7
320,36005,Bronx County,NY,60.5
321,02185,North Slope Borough,AK,33.6
322,06001,Alameda County,CA,71.0
323,51063,Floyd County,VA,36.4
324,19157,Poweshiek County,IA,53.2
325,19181,Warren County,IA,53.4
326,48035,Bosque County,TX,40.7
327,20093,Kearny County,KS,46.7
328,78020,St. John Island,VI,0.0
329,21203,Rockcastle County,KY,34.3
330,06089,Shasta County,CA,43.3
331,30039,Granite County,MT,33.7
332,13109,Evans County,GA,21.4
333,37057,Davidson County,NC,42.1
334,72061,Guaynabo Municipio,PR,80.9
335,26089,Leelanau County,MI,77.5
336,27113,Pennington County,MN,45.6
337,46115,Spink County,SD,46.6
338,51169,Scott County,VA,50.9
339,19035,Cherokee County,IA,48.9
340,13167,Johnson County,GA,15.6
341,26003,Alger County,MI,58.8
342,46091,Marshall County,SD,47.7
343,31103,Keya Paha County,NE,26.4
344,18149,Starke County,IN,33.4
345,51600,Fairfax city,VA,56.1
346,54005,Boone County,WV,30.5
347,42107,Schuylkill County,PA,56.7
348,13147,Hart County,GA,27.0
350,48347,Nacogdoches County,TX,40.2
351,13081,Crisp County,GA,18.9
352,20139,Osage County,KS,45.6
353,23003,Aroostook County,ME,61.7
354,24043,Washington County,MD,52.1
355,36115,Washington County,NY,59.5
356,51107,Loudoun County,VA,63.1
357,29161,Phelps County,MO,39.4
358,42049,Erie County,PA,54.3
359,35047,San Miguel County,NM,60.6
360,12019,Clay County,FL,44.0
361,05111,Poinsett County,AR,39.4
362,18033,DeKalb County,IN,39.2
363,27031,Cook County,MN,71.7
364,19129,Mills County,IA,49.3
365,06097,Sonoma County,CA,68.4
366,55091,Pepin County,WI,45.5
367,13275,Thomas County,GA,24.3
368,05101,Newton County,AR,29.9
369,51067,Franklin County,VA,40.3
370,48125,Dickens County,TX,30.3
371,12023,Columbia County,FL,37.9
372,47111,Macon County,TN,27.9
373,49001,Beaver County,UT,40.3
374,02180,Nome Census Area,AK,61.2
375,36091,Saratoga County,NY,71.1
376,28125,Sharkey County,MS,49.2
377,45035,Dorchester County,SC,47.0
378,37083,Halifax County,NC,46.5
379,19187,Webster County,IA,52.3
380,47103,Lincoln County,TN,37.6
381,34021,Mercer County,NJ,61.2
382,37019,Brunswick County,NC,55.7
383,37133,Onslow County,NC,51.8
384,26027,Cass County,MI,39.1
385,13073,Columbia County,GA,26.4
386,47185,White County,TN,38.4
387,24029,Kent County,MD,61.9
388,35049,Santa Fe County,NM,72.2
389,27163,Washington County,MN,59.9
390,30015,Chouteau County,MT,27.6
391,21163,Meade County,KY,38.5
392,55055,Jefferson County,WI,51.5
393,28059,Jackson County,MS,40.1
394,09007,Middlesex County,CT,75.9
395,16087,Washington County,ID,35.1
396,16013,Blaine County,ID,68.1
397,40099,Murray County,OK,40.4
398,48285,Lavaca County,TX,38.8
399,27037,Dakota County,MN,60.1
400,12015,Charlotte County,FL,59.4
401,37125,Moore County,NC,51.4
402,72075,Juana Diaz Municipio,PR,64.4
403,45031,Darlington County,SC,43.3
404,02060,Bristol Bay Borough,AK,92.3
405,53045,Mason County,WA,53.8
406,41035,Klamath County,OR,46.0
407,39125,Paulding County,OH,38.6
408,40125,Pottawatomie County,OK,42.2
409,72121,Sabana Grande Municipio,PR,74.5
410,19141,O'Brien County,IA,46.6
411,48015,Austin County,TX,42.8
412,06075,San Francisco County,CA,74.7
413,36019,Clinton County,NY,65.6
414,30025,Fallon County,MT,30.4
415,38009,Bottineau County,ND,44.3
416,19001,Adair County,IA,44.7
417,27053,Hennepin County,MN,64.5
418,21161,Mason County,KY,48.2
419,04009,Graham County,AZ,54.7
420,25025,Suffolk County,MA,64.7
421,42003,Allegheny County,PA,61.1
422,01089,Madison County,AL,53.4
423,45063,Lexington County,SC,48.7
424,30021,Dawson County,MT,34.6
425,17195,Whiteside County,IL,47.4
426,47141,Putnam County,TN,45.8
427,55023,Crawford County,WI,52.4
428,12103,Pinellas County,FL,58.9
429,20123,Mitchell County,KS,49.4
430,08039,Elbert County,CO,33.3
431,01063,Greene County,AL,44.0
432,12107,Putnam County,FL,36.2
433,26147,St. Clair County,MI,45.9
434,31185,York County,NE,47.4
435,17055,Franklin County,IL,36.3
436,72101,Morovis Municipio,PR,63.5
437,55141,Wood County,WI,55.2
438,40137,Stephens County,OK,42.3
439,12097,Osceola County,FL,63.7
440,20101,Lane County,KS,38.4
441,22055,Lafayette Parish,LA,45.2
442,39053,Gallia County,OH,40.2
443,37175,Transylvania County,NC,49.5
444,54097,Upshur County,WV,8.4
445,48207,Haskell County,TX,33.3
446,48013,Atascosa County,TX,44.4
447,42059,Greene County,PA,43.2
448,51027,Buchanan County,VA,43.1
449,37033,Caswell County,NC,45.2
450,12123,Taylor County,FL,35.5
451,28137,Tate County,MS,39.4
452,04023,Santa Cruz County,AZ,90.6
453,48299,Llano County,TX,46.5
454,13265,Taliaferro County,GA,21.1
455,31139,Pierce County,NE,34.5
456,17125,Mason County,IL,43.6
457,24015,Cecil County,MD,51.8
458,31063,Frontier County,NE,24.4
459,13299,Ware County,GA,23.4
460,17137,Morgan County,IL,45.0
462,46097,Miner County,SD,48.0
463,26021,Berrien County,MI,51.0
464,12113,Santa Rosa County,FL,44.8
465,38085,Sioux County,ND,38.8
466,18127,Porter County,IN,52.0
467,47093,Knox County,TN,53.5
468,54059,Mingo County,WV,24.3
469,42027,Centre County,PA,54.7
470,20175,Seward County,KS,39.5
471,29107,Lafayette County,MO,41.3
472,51820,Waynesboro city,VA,42.3
473,12017,Citrus County,FL,52.0
474,19155,Pottawattamie County,IA,51.1
475,30109,Wibaux County,MT,25.7
476,13249,Schley County,GA,18.4
477,20197,Wabaunsee County,KS,42.6
478,02122,Kenai Peninsula Borough,AK,41.7
479,08011,Bent County,CO,23.4
480,55049,Iowa County,WI,62.7
481,41029,Jackson County,OR,52.8
482,37051,Cumberland County,NC,56.3
483,55121,Trempealeau County,WI,58.7
484,31123,Morrill County,NE,31.5
485,17107,Logan County,IL,42.3
486,12001,Alachua County,FL,59.8
487,48099,Coryell County,TX,35.7
488,53033,King County,WA,71.3
489,28057,Itawamba County,MS,31.8
490,40051,Grady County,OK,33.8
491,19051,Davis County,IA,33.3
492,72133,Santa Isabel Municipio,PR,63.8
493,37093,Hoke County,NC,29.0
494,20187,Stanton County,KS,44.7
495,37143,Perquimans County,NC,42.5
496,39149,Shelby County,OH,32.2
497,48199,Hardin County,TX,34.0
498,20199,Wallace County,KS,34.1
499,21239,Woodford County,KY,68.7
500,18083,Knox County,IN,45.9
501,39133,Portage County,OH,51.3
502,48367,Parker County,TX,40.6
503,13313,Whitfield County,GA,22.5
504,29013,Bates County,MO,35.3
505,04005,Coconino County,AZ,68.3
506,18115,Ohio County,IN,69.4
507,32017,Lincoln County,NV,34.3
508,29145,Newton County,MO,23.2
509,31009,Blaine County,NE,23.0
510,34031,Passaic County,NJ,60.9
511,48019,Bandera County,TX,41.5
512,18023,Clinton County,IN,43.2
513,38093,Stutsman County,ND,47.3
514,41025,Harney County,OR,41.4
515,01009,Blount County,AL,27.9
516,49045,Tooele County,UT,48.4
517,29185,St. Clair County,MO,31.4
518,20073,Greenwood County,KS,45.1
519,20191,Sumner County,KS,38.5
520,18141,St. Joseph County,IN,53.3
521,42103,Pike County,PA,51.3
522,20121,Miami County,KS,42.9
523,45071,Newberry County,SC,47.6
524,53035,Kitsap County,WA,58.2
525,06037,Los Angeles County,CA,61.6
526,18163,Vanderburgh County,IN,53.1
527,55069,Lincoln County,WI,50.3
528,42087,Mifflin County,PA,48.5
529,17183,Vermilion County,IL,33.3
530,06011,Colusa County,CA,51.4
531,28147,Walthall County,MS,36.2
532,20065,Graham County,KS,66.8
533,47173,Union County,TN,31.2
534,51029,Buckingham County,VA,37.5
536,40013,Bryan County,OK,37.4
537,51580,Covington city,VA,33.7
538,20035,Cowley County,KS,42.1
539,05113,Polk County,AR,31.1
540,48029,Bexar County,TX,60.4
541,54039,Kanawha County,WV,31.5
542,19007,Appanoose County,IA,42.4
543,31093,Howard County,NE,38.9
544,37165,Scotland County,NC,41.3
545,18133,Putnam County,IN,39.1
546,08071,Las Animas County,CO,55.4
547,48153,Floyd County,TX,40.8
548,21201,Robertson County,KY,35.3
549,18025,Crawford County,IN,34.4
550,18029,Dearborn County,IN,55.0
551,39027,Clinton County,OH,42.0
552,22049,Jackson Parish,LA,37.1
553,28153,Wayne County,MS,34.7
554,48023,Baylor County,TX,38.2
555,48109,Culberson County,TX,47.5
556,17081,Jefferson County,IL,35.7
557,45007,Anderson County,SC,36.4
558,20049,Elk County,KS,30.3
560,02100,Haines Borough,AK,64.3
561,21109,Jackson County,KY,31.9
562,24013,Carroll County,MD,65.9
563,20189,Stevens County,KS,31.6
564,12049,Hardee County,FL,37.5
565,13315,Wilcox County,GA,14.4
566,21091,Hancock County,KY,54.8
567,32005,Douglas County,NV,47.3
568,37005,Alleghany County,NC,52.4
569,37035,Catawba County,NC,49.1
570,12121,Suwannee County,FL,34.1
571,37181,Vance County,NC,49.5
572,49051,Wasatch County,UT,51.1
573,48387,Red River County,TX,37.4
574,29225,Webster County,MO,39.0
575,28097,Montgomery County,MS,50.7
576,39007,Ashtabula County,OH,46.5
577,72039,Ciales Municipio,PR,74.4
578,37073,Gates County,NC,44.1
579,55065,Lafayette County,WI,54.4
580,48293,Limestone County,TX,32.8
581,42007,Beaver County,PA,48.8
